Taxon	Loci
Acokanthera_oblongifolia_PAFTOL025441	328
Adenium_obesum_PAFTOL004037	308
Aganosma_heynei_PAFTOL031726	269
Allowoodsonia_whitmorei_PAFTOL025437	309
Alstonia_macrophylla_PAFTOL004113	323
Alstonia_scholaris_PAFTOL006553	328
Alyxia_buxifolia_PAFTOL004100	317
Amalocalyx_microlobus_PAFTOL031697	329
Ambelania_acida_PAFTOL025325	326
Amsonia_hubrichtii_PAFTOL005220	307
Ancylobothrys_amoena_PAFTOL031719	331
Anechites_nerium_PAFTOL031747	328
Anemotrochus_eggersii_PAFTOL031699	329
Angadenia_berteroi_PAFTOL031748	332
Anisopus_mannii_PAFTOL031795	324
Anisotoma_cordifolia_PAFTOL031772	328
Anodendron_affine_PAFTOL031727	322
Antonia_ovata_PAFTOL005873	282
Apocynum_venetum_PAFTOL004112	309
Apteranthes_tuberculata_PAFTOL027263	318
Artia_balansae_PAFTOL025405	322
Asclepias_barjoniifolia_PAFTOL004064	289
Asketanthera_picardae_PAFTOL025329	244
Aspidoglossum_biflorum_PAFTOL031771	320
Aspidonepsis_cognata_PAFTOL031798	328
Aspidosperma_cylindrocarpon_PAFTOL004040	293
Atherandra_acutifolia_PAFTOL031809	330
Australluma_peschii_PAFTOL027265	308
Baharuia_gracilis_PAFTOL031816	326
Baissea_sp_PAFTOL004097	306
Barjonia_laxa_CB448	329
Baroniella_camptocarpoides_PAFTOL031749	326
Baseonema_gregorii_PAFTOL031750	326
Batesanthus_purpureus_PAFTOL025247	311
Baynesia_lophophora_PAFTOL027267	327
Blepharodon_ampliflorum_CB9	262
Bousigonia_mekongensis_PAFTOL025503	331
Buckollia_volubilis_PAFTOL031751	329
Calciphila_gillettii_PAFTOL027235	329
Callichilia_subsessilis_PAFTOL025317	317
Calocrater_preussii_PAFTOL025305	308
Calyptranthera_gautieri_PAFTOL031804	329
Campestigma_purpurea_PAFTOL031700	330
Camptocarpus_mauritianus_PAFTOL031752	328
Carissa_macrocarpa_PAFTOL005221	310
Carissa_spinarum_PAFTOL025443	330
Carvalhoa_campanulata_PAFTOL031753	330
Cerbera_dumicola_GAP022557	330
Cerberiopsis_obtusifolia_PAFTOL025407	326
Ceropegia_sandersonii_PAFTOL005222	294
Chamaeclitandra_henriquesiana_PAFTOL025175	325
Chilocarpus_costatus_PAFTOL031728	325
Chironia_baccifera_PAFTOL005228	255
Chlorocyathus_monteiroae_PAFTOL025505	298
Chloropetalum_denticulatum_PAFTOL031729	330
Chonemorpha_fragrans_PAFTOL031730	332
Cibirhiza_dhofarensis_PAFTOL031755	328
Cionura_erecta_PAFTOL031756	331
Colletoecema_tortistilum_PAFTOL005241	303
Condylocarpon_isthmicum_PAFTOL031721	328
Conomitra_linearis_PAFTOL031808	324
Cordylogyne_globosa_PAFTOL027237	325
Cristobalia_bella_PAFTOL027243	327
Cryptolepis_nigrescens_PAFTOL025303	325
Cryptostegia_madagascariensis_PAFTOL025359	321
Cycladenia_humilis_PAFTOL031773	323
Cyclocotyla_congolensis_PAFTOL025255	326
Cylindropsis_parvifolia_PAFTOL025307	325
Cynanchum_gracillimum_PAFTOL025271	320
Cynanchum_laeve_PAFTOL031815	332
Dalzielia_oblanceolata_PAFTOL025355	328
Decanema_bojerianum_PAFTOL031789	329
Desmidorchis_retrospiciens_PAFTOL027273	322
Dewevrella_cochliostema_PAFTOL031758	328
Dictyophleba_lucida_PAFTOL025391	329
Didymosalpinx_norae_PAFTOL021419	314
Dischidanthus_urceolatus_PAFTOL027311	328
Dischidia_nummularia_GAP022127	329
Ditassa_auriflora_CB95	331
Ditassa_grandiflora_PAFTOL025209	327
Ditassa_mucronata_CB90	331
Ditassa_obcordata_CB89	327
Ditassa_taxifolia_CB93	331
Dregea_floribunda_PAFTOL031759	329
Duvalia_elegans_PAFTOL031760	327
