Taxon	Loci
Acokanthera_oblongifolia_PAFTOL025441	212
Adenium_obesum_PAFTOL004037	209
Aganosma_heynei_PAFTOL031726	190
Allowoodsonia_whitmorei_PAFTOL025437	209
Alstonia_macrophylla_PAFTOL004113	212
Alstonia_scholaris_PAFTOL006553	212
Alyxia_buxifolia_PAFTOL004100	209
Amalocalyx_microlobus_PAFTOL031697	211
Ambelania_acida_PAFTOL025325	211
Amsonia_hubrichtii_PAFTOL005220	207
Ancylobothrys_amoena_PAFTOL031719	211
Anechites_nerium_PAFTOL031747	211
Anemotrochus_eggersii_PAFTOL031699	212
Angadenia_berteroi_PAFTOL031748	212
Anisopus_mannii_PAFTOL031795	210
Anisotoma_cordifolia_PAFTOL031772	211
Anodendron_affine_PAFTOL031727	210
Antonia_ovata_PAFTOL005873	197
Apocynum_venetum_PAFTOL004112	208
Apteranthes_tuberculata_PAFTOL027263	211
Artia_balansae_PAFTOL025405	211
Asclepias_barjoniifolia_PAFTOL004064	197
Asketanthera_picardae_PAFTOL025329	181
Aspidoglossum_biflorum_PAFTOL031771	210
Aspidonepsis_cognata_PAFTOL031798	212
Aspidosperma_cylindrocarpon_PAFTOL004040	203
Atherandra_acutifolia_PAFTOL031809	212
Australluma_peschii_PAFTOL027265	210
Baharuia_gracilis_PAFTOL031816	212
Baissea_sp_PAFTOL004097	209
Barjonia_laxa_CB448	212
Baroniella_camptocarpoides_PAFTOL031749	212
Baseonema_gregorii_PAFTOL031750	212
Batesanthus_purpureus_PAFTOL025247	208
Baynesia_lophophora_PAFTOL027267	212
Blepharodon_ampliflorum_CB9	186
Bousigonia_mekongensis_PAFTOL025503	212
Buckollia_volubilis_PAFTOL031751	211
Calciphila_gillettii_PAFTOL027235	212
Callichilia_subsessilis_PAFTOL025317	209
Calocrater_preussii_PAFTOL025305	208
Calyptranthera_gautieri_PAFTOL031804	212
Campestigma_purpurea_PAFTOL031700	211
Camptocarpus_mauritianus_PAFTOL031752	212
Carissa_macrocarpa_PAFTOL005221	205
Carissa_spinarum_PAFTOL025443	212
Carvalhoa_campanulata_PAFTOL031753	211
Cerbera_dumicola_GAP022557	212
Cerberiopsis_obtusifolia_PAFTOL025407	212
Ceropegia_sandersonii_PAFTOL005222	203
Chamaeclitandra_henriquesiana_PAFTOL025175	211
Chilocarpus_costatus_PAFTOL031728	210
Chironia_baccifera_PAFTOL005228	186
Chlorocyathus_monteiroae_PAFTOL025505	204
Chloropetalum_denticulatum_PAFTOL031729	212
Chonemorpha_fragrans_PAFTOL031730	212
Cibirhiza_dhofarensis_PAFTOL031755	212
Cionura_erecta_PAFTOL031756	211
Colletoecema_tortistilum_PAFTOL005241	201
Condylocarpon_isthmicum_PAFTOL031721	211
Conomitra_linearis_PAFTOL031808	211
Cordylogyne_globosa_PAFTOL027237	211
Cristobalia_bella_PAFTOL027243	212
Cryptolepis_nigrescens_PAFTOL025303	211
Cryptostegia_madagascariensis_PAFTOL025359	210
Cycladenia_humilis_PAFTOL031773	210
Cyclocotyla_congolensis_PAFTOL025255	211
Cylindropsis_parvifolia_PAFTOL025307	211
Cynanchum_gracillimum_PAFTOL025271	211
Cynanchum_laeve_PAFTOL031815	212
Dalzielia_oblanceolata_PAFTOL025355	211
Decanema_bojerianum_PAFTOL031789	212
Desmidorchis_retrospiciens_PAFTOL027273	210
Dewevrella_cochliostema_PAFTOL031758	210
Dictyophleba_lucida_PAFTOL025391	212
Didymosalpinx_norae_PAFTOL021419	205
Dischidanthus_urceolatus_PAFTOL027311	211
Dischidia_nummularia_GAP022127	211
Ditassa_auriflora_CB95	211
Ditassa_grandiflora_PAFTOL025209	211
Ditassa_mucronata_CB90	212
Ditassa_obcordata_CB89	211
Ditassa_taxifolia_CB93	211
Dregea_floribunda_PAFTOL031759	210
Duvalia_elegans_PAFTOL031760	212
Duvaliandra_dioscoridis_PAFTOL027275	211
Echidnopsis_cereiformis_PAFTOL031761	211
Echites_umbellatus_PAFTOL004048	198
Ectadium_virgatum_PAFTOL031762	212
Edithcolea_grandis_PAFTOL027277	211
Elytropus_chilensis_PAFTOL031763	212
Emicocarpus_fissifolius_PAFTOL025387	210
Emplectanthus_cordatus_PAFTOL031702	211
Ephippiocarpa_orientalis_PAFTOL031764	212
Epigynum_auritum_PAFTOL031703	211
Epistemma_assianum_PAFTOL031765	212
Eucorymbia_alba_PAFTOL031716	210
Eustegia_minuta_PAFTOL004041	206
Fanninia_caloglossa_PAFTOL027239	211
Farquharia_elliptica_PAFTOL031691	212
Finlaysonia_obovata_GAP022109	212
Fischeria_scandens_PAFTOL031817	212
Forsteronia_acouci_PAFTOL004047	212
Funastrum_angustissimum_PAFTOL031776	212
Funtumia_africana_PAFTOL031735	212
Galactophora_schomburgkiana_PAFTOL031704	212
Geissospermum_argenteum_PAFTOL025219	212
Gelsemium_elegans_SRR12009649	200
Genianthus_micranthus_PAFTOL031821	212
